Company Name,Address,Status
 Undher Farmers Producer Company Limited ,"Balangir, Odisha, India",ACTIVE
 S K Facade Private Limited ,"Jaipur, Rajasthan, India",ACTIVE
 Sppl Labs Private Limited ,"Ranchi, Jharkhand, India",ACTIVE
 United College Go Education Private Limited ,"Khorda, Odisha, India",ACTIVE
 Gavkul Farmer Producer Company Limited ,"Nagpur, Maharashtra, India",ACTIVE
 Vbns Sree Tech Private Limited ,"K.V.Rangareddy, Telangana, India",ACTIVE
 Carriera Edutech Private Limited ,"Patna, Bihar, India",ACTIVE
 Aishrub Solutions Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Aarjy E Ventures Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Ubk Infra Private Limited ,"Guntur, Andhra Pradesh, India",ACTIVE
 Motf Ghulam's Welfare Foundation ,"Hyderabad, Telangana, India",ACTIVE
 Jjj Paints & Coatings Private Limited ,"Cuttack, Odisha, India",ACTIVE
 Bhagavathi Chits (Mysore) Private Limited ,"Mysore, Karnataka, India",ACTIVE
 Karunadeep Agro Private Limited ,"Madhepura, Bihar, India",ACTIVE
 Mystic Spaces Private Limited ,"Kottayam, Kerala, India",ACTIVE
 Rupeesage Wealth Management Research & Technology Private Limited ,"Nashik, Maharashtra, India",ACTIVE
 Tekniza It Solutions Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Mva Lifecare Private Limited ,"West Delhi, Delhi, India",ACTIVE
 Lenkoot Technology Private Limited ,"West Delhi, Delhi, India",ACTIVE
 Gramansh Farmer Producer Company Limited ,"Bhandara, Maharashtra, India",ACTIVE
 Sri Rudhra Agro Products Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Swarnima Jeevan Marketing Private Limited ,"Gorakhpur, Uttar Pradesh, India",ACTIVE
 Shri Sakthi Krupa Chits India Private Limited ,"Coimbatore, Tamil Nadu, India",ACTIVE
 La Cherie Cosmetics Private Limited ,"North 24 Parganas, West Bengal, India",ACTIVE
 Harvestoz Agrisolutions Private Limited ,"Ghaziabad, Uttar Pradesh, India",ACTIVE
 Inva Renewsys Private Limited ,"Namakkal, Tamil Nadu, India",ACTIVE
 Pangat Agro Farmer Producer Company Limited ,"Nashik, Maharashtra, India",ACTIVE
 Anuy Clothing Private Limited ,"West Delhi, Delhi, India",ACTIVE
 Guruswamy G Multi Media Private Limited ,"Thane, Maharashtra, India",ACTIVE
 Trissam Agro Farming Private Limited ,"North Tripura, Tripura, India",ACTIVE
 Thakre India Payment Solution Private Limited ,"Nashik, Maharashtra, India",ACTIVE
 Sooryatej Software Solutions Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Pictor Consultants (Opc) Private Limited ,"Ajmer, Rajasthan, India",ACTIVE
 Shrankhla Security Services (Opc) Private Limited ,"Allahabad, Uttar Pradesh, India",ACTIVE
 Sumadhura Urban Oasis Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Expatica Biopharmaceutica Private Limited ,"Thane, Maharashtra, India",ACTIVE
 Best Star Hotels & Resorts Private Limited ,"Ramanathapuram, Tamil Nadu, India",ACTIVE
 Shakuntaladevi Totala (Opc) Private Limited ,"Kolhapur, Maharashtra, India",ACTIVE
 Dankaur Producer Company Limited ,"Gautam Buddha Nagar, Uttar Pradesh, India",ACTIVE
 Aeroshul Technologies Private Limited ,"Gurgaon, Haryana, India",ACTIVE
 Gayajidham Infracity Private Limited ,"Gaya, Bihar, India",ACTIVE
 Shivqari Vastram (Opc) Private Limited ,"Bhopal, Madhya Pradesh, India",ACTIVE
 Arthacharya Wealth Private Limited ,"Kanpur Nagar, Uttar Pradesh, India",ACTIVE
 Dataculture Technologies Private Limited ,"North West Delhi, Delhi, India",ACTIVE
 Jozde Software Solutions Private Limited ,"Kanyakumari, Tamil Nadu, India",ACTIVE
 Yhwh Infotech Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Vista Spaces Sun (Banjara Hills) Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Shri Raamesh Polymers Limited ,"Chittorgarh, Rajasthan, India",ACTIVE
 Rele Digihuman Healthcare Private Limited ,"Kanchipuram, Tamil Nadu, India",ACTIVE
 Bright Drycleaning And Laundry Services Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Global-Vital Accounting Private Limited ,"Chennai, Tamil Nadu, India",ACTIVE
 Maa Tapi Arogya Sewa Foundation ,"Betul, Madhya Pradesh, India",ACTIVE
 Indoyouth Dreams Foundation ,"North 24 Parganas, West Bengal, India",ACTIVE
